iter	Passed	Remaining
472	720	802
473	722	801
474	723	799
475	724	798
476	726	796
477	728	795
478	730	794
479	731	792
480	733	791
481	735	790
482	736	788
483	737	786
484	739	785
485	740	783
486	742	782
487	744	780
488	746	780
489	749	779
490	750	777
491	751	776
492	753	775
493	755	773
494	756	771
495	758	770
496	760	769
497	762	768
498	764	767
499	766	766
500	767	764
501	769	763
502	771	761
503	772	760
504	774	759
505	775	757
506	777	756
507	779	754
508	780	752
509	781	750
510	782	749
511	784	747
512	786	746
513	787	744
514	788	742
515	789	740
516	790	738
517	791	736
518	792	734
519	793	732
520	794	730
521	795	728
522	797	726
523	798	724
524	799	723
525	800	721
526	801	719
527	802	717
528	803	715
529	804	713
530	805	711
531	806	709
532	807	707
533	808	705
534	809	703
535	810	701
536	811	699
537	812	698
538	813	696
539	815	694
540	816	692
541	817	690
542	818	688
543	819	687
544	820	685
545	821	683
546	822	681
547	824	679
548	825	678
549	827	676
550	828	674
551	829	673
552	830	671
553	831	669
554	832	667
555	834	666
556	835	664
557	837	663
558	838	661
559	839	659
560	841	658
561	842	656
562	844	655
563	845	653
564	847	652
565	849	651
566	851	650
567	853	649
568	855	648
569	857	646
570	859	645
571	861	644
572	862	642
573	864	641
574	865	639
575	867	638
576	868	636
577	870	635
578	872	634
579	873	632
580	875	631
581	876	629
582	878	628
583	880	626
584	881	625
585	882	623
586	884	622
587	885	620
588	887	618
589	888	617
590	889	615
591	890	613
592	891	612
593	893	610
594	894	608
595	895	607
596	897	605
597	898	603
598	898	601
599	899	599
600	900	598
601	901	596
602	902	594
603	903	592
604	904	590
605	905	588
606	906	586
607	906	584
608	907	582
609	908	580
610	909	579
611	910	577
612	912	575
613	913	574
614	914	572
615	915	570
616	916	568
617	917	566
618	918	565
619	919	563
620	920	561
621	921	560
622	922	558
623	923	556
624	925	555
625	926	553
626	927	551
627	928	549
628	929	548
629	930	546
630	932	545
631	933	543
632	934	541
633	936	540
634	938	539
635	939	537
636	941	536
637	942	534
638	944	533
639	945	531
640	947	530
641	948	529
642	950	527
643	951	526
644	953	524
645	954	523
646	956	521
647	958	520
648	959	518
649	960	517
650	961	515
651	963	514
652	964	512
653	965	510
654	967	509
655	968	507
656	970	506
657	971	504
658	973	503
659	974	502
660	975	500
661	976	498
662	978	497
663	979	495
664	981	494
665	982	492
666	984	491
667	986	490
668	987	488
669	988	487
670	990	485
671	991	484
672	993	482
673	995	481
674	996	479
675	998	478
676	999	477
677	1001	475
678	1003	474
679	1004	472
680	1006	471
681	1008	470
682	1009	468
683	1012	467
684	1013	466
685	1015	464
686	1016	463
687	1018	461
688	1020	460
689	1021	458
690	1022	457
691	1024	456
692	1026	454
693	1027	453
694	1029	451
695	1031	450
696	1032	449
697	1034	447
698	1035	446
699	1037	444
700	1039	443
701	1040	441
702	1042	440
703	1044	439
704	1046	437
705	1048	436
706	1049	435
707	1051	433
708	1053	432
709	1055	430
710	1056	429
711	1058	428
712	1060	426
713	1061	425
714	1062	423
715	1063	421
716	1064	420
717	1065	418
718	1066	416
719	1067	415
720	1068	413
721	1069	411
722	1070	410
723	1071	408
724	1072	406
725	1073	405
726	1074	403
727	1075	401
728	1076	400
729	1077	398
730	1078	396
731	1079	395
732	1080	393
733	1080	391
734	1081	389
735	1082	388
736	1083	386
737	1084	384
738	1084	383
739	1085	381
740	1086	379
741	1087	378
742	1087	376
743	1088	374
744	1089	372
745	1090	371
746	1091	369
747	1092	368
748	1093	366
749	1094	364
750	1095	363
751	1096	361
752	1097	360
753	1098	358
754	1099	356
755	1099	355
756	1100	353
757	1101	351
758	1102	350
759	1103	348
760	1104	346
761	1104	345
762	1106	343
763	1108	342
764	1110	340
765	1111	339
766	1112	337
767	1113	336
768	1114	334
769	1115	333
770	1116	331
771	1116	329
772	1117	328
773	1118	326
774	1119	324
775	1120	323
776	1121	321
777	1123	320
778	1124	319
779	1125	317
780	1126	315
781	1127	314
782	1128	312
783	1129	311
784	1130	309
785	1131	308
786	1132	306
787	1133	305
788	1135	303
789	1136	302
790	1137	300
791	1139	299
792	1141	297
793	1142	296
794	1143	294
795	1144	293
796	1145	291
797	1146	290
798	1147	288
799	1149	287
800	1150	285
801	1151	284
802	1153	282
803	1154	281
804	1155	279
805	1156	278
806	1157	276
807	1158	275
808	1160	273
809	1160	272
810	1161	270
811	1162	269
812	1163	267
813	1164	266
814	1165	264
815	1166	263
816	1168	261
817	1169	260
818	1171	258
819	1171	257
820	1172	255
821	1173	254
822	1174	252
823	1175	251
824	1176	249
825	1177	248
826	1178	246
827	1179	244
828	1180	243
829	1182	242
830	1183	240
831	1184	239
832	1185	237
833	1186	236
834	1186	234
835	1187	232
836	1188	231
837	1188	229
838	1189	228
839	1190	226
840	1190	225
841	1191	223
842	1192	222
843	1193	220
844	1193	218
845	1194	217
846	1195	215
847	1197	214
848	1198	213
849	1199	211
850	1200	210
851	1201	208
852	1202	207
853	1203	205
854	1203	204
855	1204	202
856	1205	201
857	1205	199
858	1206	198
859	1207	196
860	1208	195
861	1208	193
862	1209	192
863	1210	190
864	1211	189
865	1212	187
866	1213	186
867	1214	184
868	1215	183
869	1216	181
870	1217	180
871	1217	178
872	1218	177
873	1219	175
874	1220	174
875	1221	172
876	1221	171
877	1222	169
878	1223	168
879	1224	166
880	1224	165
881	1225	163
882	1226	162
883	1227	161
884	1228	159
885	1230	158
886	1231	156
887	1231	155
888	1232	153
889	1233	152
890	1234	151
891	1235	149
892	1235	148
893	1236	146
894	1237	145
895	1237	143
896	1238	142
897	1239	140
898	1240	139
899	1241	137
900	1242	136
901	1243	135
902	1244	133
903	1245	132
904	1246	130
905	1247	129
906	1249	128
907	1249	126
908	1250	125
909	1251	123
910	1251	122
911	1252	120
912	1253	119
913	1254	118
914	1255	116
915	1255	115
916	1257	113
917	1258	112
918	1259	110
919	1260	109
920	1261	108
921	1262	106
922	1262	105
923	1263	103
924	1264	102
925	1264	101
926	1265	99
927	1266	98
928	1266	96
929	1267	95
930	1268	93
931	1268	92
932	1269	91
933	1270	89
934	1270	88
935	1272	87
936	1273	85
937	1273	84
938	1274	82
939	1275	81
940	1276	80
941	1276	78
942	1277	77
943	1278	75
944	1278	74
945	1279	73
946	1280	71
947	1280	70
948	1281	68
949	1282	67
950	1282	66
951	1283	64
952	1284	63
953	1285	61
954	1285	60
955	1286	59
956	1287	57
957	1288	56
958	1289	55
959	1290	53
960	1291	52
961	1292	51
962	1292	49
963	1293	48
964	1293	46
965	1294	45
966	1295	44
967	1295	42
968	1296	41
969	1297	40
970	1298	38
971	1298	37
972	1299	36
973	1300	34
974	1300	33
975	1301	32
976	1303	30
977	1304	29
978	1305	28
979	1307	26
980	1307	25
981	1308	23
982	1309	22
983	1310	21
984	1311	19
985	1312	18
986	1313	17
987	1314	15
988	1314	14
989	1315	13
990	1317	11
991	1318	10
992	1320	9
993	1321	7
994	1322	6
995	1323	5
996	1324	3
997	1325	2
998	1326	1
999	1327	0
